Item,Price,Link
White PLA,$13,https://www.amazon.com/SUNLU-Printer-Filament-1-75mm-Printers/dp/B0BD7K5SQK/
Kapton Tape,$10,https://www.amazon.com/Hxtape-Temperature-Polyimide-Printing-Soldering/dp/B07D5RRXTS/
32AWG Magnet Wire,$13,https://www.amazon.com/BNTECHGO-AWG-Magnet-Wire-Transformers/dp/B07JBQQR38/
Transformer Core,$23,https://www.amazon.com/5pairs-UY1658-Transformer-ferrite-Material/dp/B0146OG8VK/r
16 AWG,$8,https://www.amazon.com/Silicone-Electrical-Cable%EF%BC%8810ft-Temperature-Resistant/dp/B0D93K21TN/
,,
Momentary Push Button,$3,https://www.aliexpress.us/item/3256812230348809.html?
40 2CL77 Diodes,$13,https://www.aliexpress.us/item/3256802425242911.html
40 20kV 1nF Capacitors,$14,https://www.aliexpress.us/item/3256809649447491.html
,,
24V 20A SMPS,$22,https://www.amazon.com/HPMN-24V-15A-360W-Transformer/dp/B0DPKJPB5P
Mains Cable,$4,https://www.aliexpress.us/item/3256802936747637.html
,,
IRFP250 MOSFETs,$6,https://www.aliexpress.us/item/3256806932452420.html?
470 Ohm 2W Resistors,$2,https://www.aliexpress.us/item/3256802900888178.html?
0.47uH 10A Inductor,$6,https://www.aliexpress.us/item/3256806537093956.html
2 Pin Screw Terminals,$3,https://www.aliexpress.us/item/3256806674476213.html
3 Pin Screw Terminals,$4,https://www.aliexpress.us/item/3256806674476213.html
1N4742A 12V Zener Diodes,$1,https://www.aliexpress.us/item/2255799836200735.html?
UF4007 400V Fast Switching Diodes,$2,https://www.aliexpress.us/item/2255800018624086.html?
0.68uF Film Capacitors,$3,https://www.aliexpress.us/item/3256801916333851.html
50V 1000uF Electrolytics,$5,https://www.aliexpress.us/item/3256811625053645.html?
,,
Multiplier PCB,$8,JLCPCB
ZVS PCB,$16,JLCPCB
JLC Shipping,$15,JLCPCB
,,
Total,$194,
